"","site","species","Girth (cm)"
"354",8,"Anogeissus latifolia",24
"355",8,"Anogeissus latifolia",23
"356",8,"Anogeissus latifolia",18
"357",8,"Anogeissus latifolia",24
"358",8,"Anogeissus latifolia",11
"359",8,"Anogeissus latifolia",21
"360",8,"Gimnosporia emarginata",16
"361",8,"Anogeissus latifolia",21
"362",8,"Anogeissus latifolia",21
"363",8,"Anogeissus latifolia",20
"364",8,"Anogeissus latifolia",28
"365",8,"Diospyros melanoxylon",11
"366",8,"Anogeissus latifolia",21
"367",8,"Anogeissus latifolia",24
"368",8,"Anogeissus latifolia",28
"369",8,"Anogeissus latifolia",24
"370",8,"Gimnosporia emarginata",16
"371",8,"Acacia chundra",34
"372",8,"Gimnosporia emarginata",18
"373",8,"Gimnosporia emarginata",20
"374",9,"Tectonia grandis",3
"375",9,"Tectonia grandis",4
"376",9,"Tectonia grandis",6
"377",9,"Diospyros montana",2
"378",9,"Butea monosperma",2
"379",9,"Cassia montana",2.7
"380",9,"Diospyros chloroxylon",2.5
"381",9,"Diospyros chloroxylon",13
"382",9,"Diospyros chloroxylon",16
"383",9,"#N/A",70
"384",9,"Tectonia grandis",14
"385",9,"Tectonia grandis",15
"386",9,"Gardenia gummifera",22
"387",9,"Gardenia gummifera",16
"388",9,"Gardenia gummifera",14
"389",9,"Buchnania latifolia",28
"390",9,"Buchnania latifolia",37
"391",9,"Buchnania latifolia",30
"392",9,"Buchnania latifolia",35
"393",9,"Buchnania latifolia",36
"394",9,"Tectonia grandis",26
"395",9,"Tectonia grandis",13
"396",9,"Tectonia grandis",19
"397",9,"Tectonia grandis",15
"398",9,"Tectonia grandis",14
"399",9,"Tectonia grandis",11
"400",9,"Diospyros montana",14
"401",9,"Diospyros montana",16
"402",9,"Diospyros montana",12
"403",10,"Diospyros melanoxylon",4
"404",10,"Diospyros melanoxylon",3
"405",10,"Diospyros melanoxylon",3
"406",10,"Diospyros melanoxylon",2.5
"407",10,"Diospyros melanoxylon",2.7
"408",10,"Diospyros melanoxylon",4
"409",10,"Diospyros melanoxylon",5
"410",10,"Boswelia serrata",60
"411",10,"Boswelia serrata",26
"412",10,"Buchnania latifolia",34
"413",10,"Buchnania latifolia",35
"414",10,"Buchnania latifolia",37
"415",10,"Gimnosporia emarginata",16
"416",10,"Gimnosporia emarginata",20
"417",10,"Gimnosporia emarginata",13
"418",10,"Gimnosporia emarginata",12
"419",10,"Gimnosporia emarginata",14.5
"420",10,"Gimnosporia emarginata",12.5
"421",10,"Gimnosporia emarginata",21
"422",10,"Gimnosporia emarginata",13
"423",10,"Gimnosporia emarginata",19
"424",10,"Gimnosporia emarginata",12
"425",10,"Ixora parviflora",24
"426",10,"Soumida febrifuga",90
"427",10,"Soumida febrifuga",90
"428",10,"Soumida febrifuga",28
"429",1,"Cassia montana",3.5
"430",1,"Cassia montana",3
"431",1,"Cassia montana",2.5
"432",1,"Cassia montana",2
"433",1,"Dolichandrone atrovirens",2.5
"434",1,"Dolichandrone atrovirens",3
"435",1,"Cassia montana",3.4
"436",1,"Cassia montana",2
"437",1,"Cassia montana",3
"438",1,"Cassia montana",2.5
"439",1,"Cassia montana",2
"440",1,"Dolichandrone atrovirens",27
"441",1,"Dolichandrone atrovirens",14
"442",1,"Dolichandrone atrovirens",24
"443",1,"Dolichandrone atrovirens",15
"444",1,"Dolichandrone atrovirens",24
"445",1,"Dolichandrone atrovirens",25
"446",1,"Dalbergia paniculata",14
"447",1,"Dolichandrone atrovirens",19
"448",1,"Dolichandrone atrovirens",15
"449",1,"Dolichandrone atrovirens",17
"450",1,"Dolichandrone atrovirens",21
"451",1,"Dolichandrone atrovirens",15
"452",1,"Dolichandrone atrovirens",14
"453",1,"Dolichandrone atrovirens",23
"454",1,"Dolichandrone atrovirens",16
"455",1,"Dolichandrone atrovirens",14
"456",1,"Dolichandrone atrovirens",23
"457",1,"Dolichandrone atrovirens",14
"458",2,"Cassia montana",3
"459",2,"Cassia montana",3.5
"460",2,"Cassia montana",5
"461",2,"Cassia montana",4.5
"462",2,"Cassia montana",3.4
"463",2,"Cassia montana",3
"464",2,"Cassia montana",3
"465",2,"Cassia montana",3.5
"466",2,"Cassia montana",4
"467",2,"Cassia montana",3.5
"468",2,"Cassia montana",3.5
"469",2,"Dolichandrone atrovirens",16
"470",2,"Dolichandrone atrovirens",30
"471",2,"Dolichandrone atrovirens",25
"472",2,"Dolichandrone atrovirens",16
"473",2,"Dolichandrone atrovirens",14
"474",2,"Dolichandrone atrovirens",31
"475",2,"Dolichandrone atrovirens",14
"476",2,"Dolichandrone atrovirens",16
"477",2,"Dolichandrone atrovirens",12
"478",2,"Dolichandrone atrovirens",14
"479",2,"Dolichandrone atrovirens",16
"480",2,"Dolichandrone atrovirens",11
"481",2,"Dolichandrone atrovirens",14
"482",2,"Dolichandrone atrovirens",23
"483",2,"Dolichandrone atrovirens",14
"484",2,"Dolichandrone atrovirens",20
"485",2,"Dolichandrone atrovirens",12
"486",2,"Dolichandrone atrovirens",15
"487",2,"Dolichandrone atrovirens",30
"488",2,"Dolichandrone atrovirens",18
"489",2,"Dolichandrone atrovirens",16
"490",3,"Dolichandrone atrovirens",2.5
"491",3,"Dolichandrone atrovirens",3
"492",3,"Gardenia gummifera",2
"493",3,"Gardenia gummifera",2.5
"494",3,"Dalbergia paniculata",4
"495",3,"Cassia auriculata",3
"496",3,"Dolichandrone atrovirens",5
"497",3,"Dolichandrone atrovirens",4
"498",3,"Dolichandrone atrovirens",3.5
"499",3,"Cassia montana",3
"500",3,"Dolichandrone atrovirens",15
"501",3,"Dolichandrone atrovirens",14
"502",3,"Dolichandrone atrovirens",19
"503",3,"Dolichandrone atrovirens",13
"504",3,"Dolichandrone atrovirens",17
"505",3,"Dolichandrone atrovirens",24
"506",3,"Dolichandrone atrovirens",19
"507",3,"Dolichandrone atrovirens",12
"508",3,"Dolichandrone atrovirens",11
"509",3,"Dolichandrone atrovirens",12
"510",3,"Dolichandrone atrovirens",24
"511",3,"Dolichandrone atrovirens",21
"512",3,"Dolichandrone atrovirens",19
"513",3,"Dolichandrone atrovirens",29
"514",3,"Dolichandrone atrovirens",18
"515",3,"Dolichandrone atrovirens",16
"516",3,"Dolichandrone atrovirens",24
